target,function,SVM,GaussianProcess,KNeighbors,MLP
iris,F1Score,0.947133302847109,0.9539329229800625,0.9537267279214424,0.9476793075353177
 ,Accuracy,0.9466666666666667,0.9533333333333334,0.9533333333333334,0.9466666666666667
sonar,F1Score,0.8150210014099855,0.809944132578092,0.767668179654455,0.7977158319244633
 ,Accuracy,0.8173054587688734,0.8124274099883856,0.7696864111498257,0.7987224157955864
glass,F1Score,0.1642504033993702,0.6812741288977705,0.6459401091561464,0.19062722560513154
 ,Accuracy,0.3229235880398671,0.7057585825027686,0.6684385382059801,0.3554817275747508
airfoil,R2Score,0.16888499733176074,0.06973464779490321,0.2288509015925957,-0.001248735979155402
 ,MeanSquared,39.33848024023765,44.021775934726705,36.364857621488284,47.587804470468384
winequality-red,R2Score,0.17028638579212652,0.23256999674707454,0.12961203697293938,0.26492002404052306
 ,MeanSquared,0.5402998247429066,0.4979449643417023,0.5640938087774294,0.4781650416276631
winequality-white,R2Score,0.1463654047502317,0.24999137942697325,0.1504382467980769,0.26493164834076655
 ,MeanSquared,0.6688592063132337,0.5879996100398923,0.6655329344812492,0.5758047656246857
